Protein	20211018_Seroconversion_DBS_Plate1_DR1_centroid.mzML	20211018_Seroconversion_DBS_Plate1_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate1_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate1_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate1_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate1_DR6_centroid.mzML	20211018_Seroconversion_DBS_Plate2_DR1_centroid.mzML	20211018_Seroconversion_DBS_Plate2_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate2_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate2_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate2_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate2_DR6_centroid.mzML	20211018_Seroconversion_DBS_Plate3_DR1_centroid.mzML	20211018_Seroconversion_DBS_Plate3_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate3_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate3_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate3_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate3_DR6_centroid.mzML	20211018_Seroconversion_DBS_Plate4_DR1_centroid.mzML	20211018_Seroconversion_DBS_Plate4_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate4_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate4_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate4_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate4_DR6_centroid.mzML	20211018_Seroconversion_DBS_Plate5_DR1_centroid.mzML	20211018_Seroconversion_DBS_Plate5_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate5_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate5_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate5_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate5_DR6_centroid.mzML	20211018_Seroconversion_DBS_Plate6_DR1_centroid.mzML	20211018_Seroconversion_DBS_Plate6_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate6_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate6_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate6_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate6_DR6_centroid.mzML	20211018_Seroconversion_DBS_Plate7_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate7_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate7_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate7_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate7_DR6_centroid.mzML	20211018_Seroconversion_DBS_Plate8_DR1_centroid.mzML	20211018_Seroconversion_DBS_Plate8_DR2_centroid.mzML	20211018_Seroconversion_DBS_Plate8_DR3_centroid.mzML	20211018_Seroconversion_DBS_Plate8_DR4_centroid.mzML	20211018_Seroconversion_DBS_Plate8_DR5_centroid.mzML	20211018_Seroconversion_DBS_Plate8_DR6_centroid.mzML
O75564					59019.203120000006																																										
O75578																																								492373.625							
O75592																		108553.8984																													
O75608		63726.484379999994	256298.4219	305639.1875	161103.8125	67701.78125		57840.390620000006	77436.59375		60074.53516				70844.14062		67401.39844					75666.90625			65660.45312	197655.0156	230504.2812	214967.1094	164159.3438				177036.3594		229149.0938	23204.41211	169462.5469	148755.7656	166942.0156	186173.9844	194990.9062		212851.6875	160098.375	170740.1562	177871.2812	186925.0312
O75636	293540.4688	271785.9375	262250.375	76263.95312	345231.2812	262966.25	125584.5156	97514.10156	201155.3906	241704.0625	283947.8438	254452.2031		112214.7188	180188.875	211917.125	316406.8125	184151.5469		180056.2656	228410.3281	208791.6406	171809.0	218789.4531	275972.1875	284832.3125	312920.7812	310743.8438	305687.2188	265727.3125	229737.7188	261685.9375	277086.7188	207316.9688	266046.7812	261431.9688	270073.5	260866.7344	288630.0938	290265.7188	281176.7812	332900.0312	288003.2188	303668.1562	360551.3125	287745.875	307767.5938
O75676																																								153039.4844							
O75688						28219.45508			50431.75391	45997.23438			21293.67383				29976.42188																														
O75688;P35813																																									87671.48438						
O75689	58702.25391																																														
O75716																																		218280.0156													
O75717		310526.375											3747571.25	2670155.75	2578699.0	1965843.75	2567326.75	2746342.5																													
O75752										98969.24219																																					
O75795;P06133;P16662;P36537;P54855;Q6UWM9;Q9Y4X1																																	258276.8281														
O75807													164853.7344	161383.3594	195308.1406	167218.875	162010.2812	176924.7812														200265.0938	153169.125		182074.1719												
O75822				26461.69922																																											
O75828																																		326127.0625											246181.1719		
O75828;P16152	858294.375	930785.3125	907972.9375	876504.875	790178.75	937069.25	988854.1875	992666.8125	961061.75	913928.125	958790.625	982578.9375	926599.1875	942597.0625	850833.6875	771389.1875	948204.8125	804098.875	871336.4375	801401.1875	773378.0	726629.0625	872760.125	792969.375	645416.125	745047.875	579286.9375	653705.75	629002.875	710511.0	880680.6875	784591.25	417135.3438	934356.5625	642054.375		798711.8125	775277.75	771302.0625	737580.125	765531.0625	841670.25	796938.3125	791905.6875	765371.9375	726962.8125	751002.5
O75830;P30740;P50452;P50453		228442.3594	229941.5312		204867.1562							165601.5																					105404.7109		118820.7422		101092.1797	130075.1328		114928.5234	116257.6641		130651.6641	131866.8594			147989.625
O75832	95106.3125	117732.6641	132434.6094	106594.1719		128597.5781	143432.1562		82668.95312					114885.8594												68838.09375				71550.70312	47633.94141					77723.36719	162638.3281	73861.55469		86783.17188			82000.21875				94024.38281
O75843								942388.0																																							
O75874	58151.22656	74804.39844	149146.8906	78605.45312	73759.28906	230067.875		47409.57031	229708.1094	172067.375	183790.4531	174761.5469	168266.0312	62736.76953	70309.41406		192562.2969	103320.7344				153345.9375						127556.6172	41845.78906		90079.375	95399.00781	18954.06641	69666.26562	140899.5938		63672.71484	128625.3828		82052.10938	131482.2344	42848.61719	154397.8906	70112.17969	36028.80078	98904.02344	136393.1406
O75874;P48735			149146.8906						229708.1094	172067.375	183790.4531	174761.5469	168266.0312			180671.7344	192562.2969		142965.9688	198578.5781	199557.2969	153345.9375	171442.0					127556.6172										128625.3828		82052.10938	131482.2344						136393.1406
O75882	214369.7188	128259.2812	114848.6562	55010.92578	70796.85156	97274.73438	191314.0625	234804.0938	168977.0625	50299.07031	64898.99609	52828.64453	177471.2031	183237.7969		49842.76172	57558.60156	136230.0625	33415.66016	62033.60547	87373.39062	63627.43359		85297.15625	107069.6172	68317.5625	88304.64062	69963.67969	77990.23438	89251.57031	97389.74219	109607.3047	106503.9062	87955.36719	131794.125	58184.71875	162390.125	137167.2188	75522.53125	135970.375	126851.3516	70514.03906	149852.0156	138666.3125	86066.45312	122871.2578	204094.8594
O75914;Q13153;Q13177			53206.42578	55395.58984	59624.17969		57488.11328																																								
O75925																65328.42578																															
O75955	545645.5625	495892.3438	569345.125	573373.6875	443756.8438	549461.8125	696377.625	638098.0625	502732.8438	565485.1875	426973.6562	538877.5625	499467.9062	492130.9062	397452.6875	375853.9062	385074.9375	435062.7812	505355.7812	411255.8125	402005.4688	379931.9062	429904.0625	441646.5	557095.8125	535073.1875	467734.9062	485861.4688	549122.4375	561730.4375	491223.7812	495285.1875	554215.9375	544524.0625	548722.625	621491.125	439106.4688	396691.7188	424712.1875	385311.8438	323449.75	431138.7188	464344.0312	383090.1875	457448.1562	468986.0312	426617.6562
O75962																								80501.76562									163368.5625	119724.2578		190509.0469	165372.9688	183145.9219			248618.8281			266735.2812			
O76003		50873.71875	63196.65234	105113.8438		95965.01562		54697.37109		58079.890620000006	32942.80859					49163.71484												279332.9375			83755.875	73720.09375	85669.74219		139183.5469									85051.35938			
O76021												4277079.0	3408582.0											3970546.25																							
O76041																	415073.3438																														
O76054									278218.0																																		160382.8906				
O76054;Q9UDX4	231912.6094	210462.9531	198920.125	205920.8125	152170.8906				278218.0			181573.6562		230625.8594			257337.4062	258439.5938		256301.0938	264580.4062				213443.6406	211383.4062	177617.5781	167449.9062	204668.7969				158618.1562		120722.25	160135.75	155764.0312	174095.125	129937.6406	163275.1562	164766.9375		160382.8906	139422.5312		168949.4062	144718.7969
O76083																					451045.375							399588.3438																			
O77932																																							290863.7812								
O94760							163105.0938																44807.875																								
O94766											40818.11328																																				
O94788;P00352;P05091;P30837;P47895	1911944.875	2178549.5	1842491.625	2131178.25	2819736.25	1955473.125	1742556.375	1727434.125	2313132.75	2258625.75	2690975.0	2416289.5	1690056.375	1951787.625	2491592.5	3084465.75	2846982.25	1734172.75	1893201.625	2428480.75	2681582.0	2705183.75	2615788.5	1482570.25	2829396.25	2815487.75	2759831.75	3162851.75	2956737.25	2879201.5	2404829.75	2507174.25	2532200.0	2971777.75	2496017.5	2773924.0	2490381.5	2305072.5	2425817.0	2483009.75	2399107.25	2388589.25	2284303.75	2759501.25	2812381.75	2583240.25	2541102.25
O94813																																		62980.30078													
O94818																												1568065.0																			
O94822																					77681.03125	107952.6172	120336.8203																								
O94827																				274041.8125								110050.3438																			
O94832					64897.90234																																										
O94851																									279663.2812																						
O94880				12986162.0		18137090.0									19729590.0										21312446.0										13757410.0												
O94887											533933.375																																				
O94888																																40298.79297															
O94903									24968.19336	19642.18555																																					
O94913																																								312460.6562					365143.4062		
O94919	67800.90625			64958.78125						58784.93359																											72044.83594		35541.02734			43894.42188	80782.64844	91395.57031		43508.25781	60372.41797
O94941																																								37579.14844							
O94973;O95782	234461.5625	203771.125	217909.6094		181644.6875				235312.0312	235342.25	217426.3281	240807.4844	107310.9844	235930.2344	217079.2188	196462.6875	92053.24219	210662.0781		193126.8125	249231.4531	152159.0	198500.375				33206.78516					150787.9688		182251.2812	135111.9375		134199.4844	138404.0	185749.3281	136309.8906	143491.875	143602.2656		178636.625	164005.5781	152886.3906	162631.625
O94988														43515.66406																							56156.35156							34636.12109			
O95007																															548264.875																
O95045							160292.3438																																								
O95072																														156618.1719																	114221.6797
O95084			198713.7188	165540.4531						132709.9688																	201865.75																				
O95104																																											256816.2969				
O95155																																		516459.3438		466324.4688											
O95170;Q5XX13																																												506533.7188			
O95255																																											176380.7031				
O95256			539445.9375			324950.8125	105779.8906	186570.3906		190579.9062									97557.51562					276604.4688			45811.51172																				
O95271																				103128.3125																											
O95336	787168.6875	744708.6875	665648.1875	666913.0625	675691.5	731862.4375	739742.9375	824567.5625	720752.75	719573.6875	604863.4375	698279.125	780317.25	780390.625	779900.125		763673.75	809405.75	763584.0625	791069.0	593266.9375	738318.3125	693803.3125	791110.25		577398.9375	548811.6875	578350.5625	569962.375		541464.375	550390.375	561342.1875	580393.4375	502782.0312	556661.3125	527331.125	536417.0	537082.4375	457060.4375	517550.5625	601874.25	488997.875	537120.3125	577213.6875	449842.0	517231.3125
O95342																																							47127.35547								
O95347																																							149756.0156								
O95359																							199721.8906																								
O95372																																	38043.37109														
O95373	107274.8594	135414.625	136434.9688	189771.0		126152.2969		2562619.25			99974.5625	80828.19531				73976.03125	59429.140620000006																	95259.45312	178969.0156				104311.4688					33712.30859			15594.17871
O95427																									70229.53906	103391.5156		45548.32031								63221.96875		133471.0469					128312.1875				
O95428																					105728.5156				149128.25	291856.0938	273321.6875			221117.7656								146380.3906					162496.5312	184640.0469			136872.8594
O95433																																					19168.01367										
O95445	2470829.25	2203286.25	2311485.0	1906539.0	1953450.125	2168983.75	2700961.0	2380404.5	2309126.25	2315961.25	2068465.5	2117628.25	2168319.5	2015328.5	1936454.0	1934527.0	1900975.5	1881184.25	1874461.5	1791390.0	1861059.0	1581573.875	1808808.75	1735353.0	1253155.0	1178895.25	1299688.0	1366482.375	1325423.0	1249775.25	1447559.25	1446111.625	1317484.375	1534255.25	1221623.375	1415788.25	1474634.75	1485718.625	1572793.5	1427339.5	1401372.0	1777312.375	1498647.625	1498961.25	1604323.375	1624123.375	1465749.875
O95447																	58847.19922																														
O95461		51418.70312																																													
O95470																															22587.15039																
O95477			59099.13672	40243.19922			42520.10547										55215.27344																														
O95479			197275.4219																																												
O95486																																															223614.0469
O95522								250325.8594																													133497.25										
O95528																									30509.34961																						
O95568;P01024													20322312.0	17562658.0	17581928.0	18056474.0	17220818.0	17149136.0													11497962.0	9739652.0	9552094.0	10060984.0	11114416.0												
O95602																																					126317.0859										
O95613																																									13857.62012						
O95628																								506214.6562	167188.4062	170403.7969			107678.2344												244308.5156						
O95714					53532.44531							57273.30078					51030.86328								26234.65625												57682.37109										32792.00781
O95716;P20336;P20337;P20338;P61006;P61018;P61026;P61106;P62820;Q15286;Q15771;Q6IQ22;Q86YS6;Q92928;Q92930;Q96AX2;Q96DA2;Q96E17;Q9H0U4			342884.8125	323995.9688	889544.0625		308209.9375		305470.2812			319473.3438				264244.6875	328360.2812	344541.5			314490.7812	303126.8125		279935.3438						249655.4219	1171487.625					323929.9688	1195219.875				1153387.875		1240876.0			1220373.5	1209119.125
O95747		89332.89844	114593.9453	97932.29688	204650.2656				52755.04297		134547.9531	97999.92969	109988.0781		95904.85156	125955.7969	111762.5703		92771.61719		102314.875	114081.3828	140484.7969	96766.52344	263140.9375	279489.4375	289225.375	360315.625	227752.8594	297817.0625		255704.5781	356138.5	406384.9688	276194.2188	273938.9375	329338.9375	309284.0	446441.6562	389378.1875	290853.7188	305242.7812	323855.5938	426674.875	505201.4688	371474.0938	306243.1875
O95754																									19651.4043																						
O95755													662453.5625						884613.8125																												
O95757											226471.8906									291186.0		238293.5469																									
O95757;P34932;Q92598	411427.8125	402691.9688	407910.5	424342.25	455851.9062	421394.7812	371679.0312	374366.1875	390989.0312	394162.3438	438786.0	349047.9062	431659.125	434305.4375	390495.5	377965.4688	436839.0625	366523.4688		423944.6875		346955.0		355656.7812	327667.7188	353245.875	338333.4062	339512.125	277111.625	287810.0938	367241.0	368227.5312	417587.0625	422908.0938	387632.4375	348903.5625	414096.625	468528.7812	442771.8438	418235.5312	410800.6562	297676.5312	395994.4062	411950.1875	391359.0312	428141.875	403688.25
O95782	234461.5625	203771.125	217909.6094	155938.0	181644.6875	118325.9297	121714.875	122888.6562	235312.0312	235342.25	217426.3281		107310.9844				92053.24219			193126.8125																	134199.4844	138404.0	185749.3281	136309.8906	143491.875			178636.625	164005.5781		162631.625
O95810	141870.7031	155779.6875	84454.44531	149681.9688	144756.8906	97976.03125		93830.38281	137757.9375	110629.3438			55178.51172	106959.6016	88139.52344		101908.25				57462.39844						74089.875		59086.51172								130841.3906			114006.5547	147650.4531		69001.24219	99119.5		87369.42188	
O95819;Q8N4C8			756036.0																																												
O95835									422894.625																																						
O95861																	59968.87109											30539.17773																			
O95876																		72660.21094																													
O95935;Q96SF7											290046.9688												529901.6875								148230.4688					539783.3125											
O95954					186231.1406																																										
O95970	106030.4062							93358.46875																																							
O95972																																															16608.66016
O95996		84099.34375															34475.19141																														
P00338	1129972.25	1099358.125	1083900.625	1029405.438	1084804.875	1134051.75	1141841.875	1143861.125	1060736.5	1097851.125	989239.0	992614.875	996799.8125	929678.875	1036117.438	953631.0625	921194.9375	943240.8125	959166.5	940867.0625	925037.8125	656113.3125	1024051.188	835308.5	644906.5	717164.1875	729147.6875	728534.0625	732746.125	740809.25	873435.75	866526.1875	941227.5625	867364.5	830883.0	983019.3125	855157.5	921687.4375	1062195.25	896539.5625	912638.5	851909.125	799909.0	882935.125	849995.75	847975.3125	745328.5625
P00338;P07195;P07864;Q6ZMR3	4568628.0	4663847.0	4439460.0	4523873.0	4931485.5	4596173.0	4364318.0	4450917.0	5050831.0	4244327.0	4457732.5	4633974.0	4317585.5	4446615.0	4710411.5	4657158.0	4643037.5	4369352.5	4404394.5	4616493.5	4411834.0	4528342.0	4423287.0	4474581.5	5208934.5	4895479.5	4707692.5	4943422.0	5109203.5	4741868.0	4871048.5	4736308.5	4299026.0	4793292.5	4437285.0	4523423.5	5422395.0	5099213.5	5270897.0	5214157.0	4955473.5	5139531.5	4933784.0	5865948.0	5599836.0	5342716.0	4988613.0
P00352	1911944.875	2178549.5	1842491.625	2131178.25	2819736.25	1955473.125	1742556.375	1727434.125	2313132.75	2258625.75	2690975.0	2416289.5	1690056.375	1951787.625	2491592.5	3084465.75	2846982.25	1734172.75	1893201.625	2428480.75	2681582.0	2705183.75	2615788.5	1482570.25	2829396.25	2815487.75	2759831.75	3162851.75	2956737.25	2879201.5	2404829.75	2507174.25	2532200.0	2971777.75	2496017.5	2773924.0	2490381.5	2305072.5	2425817.0	2483009.75	2399107.25	2388589.25	2284303.75	2759501.25	2812381.75	2583240.25	2541102.25
P00374																							89741.79688																								
P00387	252253.6562	255774.9219	260744.75	262779.75	267698.5938	119680.1562	94242.20312	99595.09375	152783.0	125342.1719	201428.8125	134890.9062	114663.5234	134829.0469	132938.25	191484.9531	154443.0938	131445.7969	150204.4219	166578.3281	153957.5781	200621.875	227441.0	119384.7422	130894.8906	178714.0625	225840.1406	206877.3281	193256.2031	132315.2344	178994.7969	138769.6719	204678.5938	186513.7188	213962.3906	49513.28516	239711.9844	248767.7656	238197.4531	251142.7344	220963.5312	188817.0156	185616.8438	276829.5938	235491.6094	224888.5156	226585.9062
P00390	631007.75	638961.5625	646956.5	659647.8125	715382.25	643777.0625	774534.6875	782164.625	805076.8125	758236.875	719679.5	777667.875	778681.5625	702269.75	787016.5	725848.3125	738436.6875	741639.1875	675138.0625	609879.6875	681532.125	636085.125	688183.375	645895.9375	520339.4688	496503.75	522655.1875	535587.5	500428.0625	535839.8125	627074.875	560525.4375	627150.625	641963.0	600524.3125	666428.0	567023.3125	532519.6875	621872.0	544490.6875	536455.875	622331.75	509948.3125	542318.125	693498.8125	522576.75	479597.5312
P00441	2075968.625	2389790.25	2034053.625	2629086.0	2552153.75	2316425.5	1669564.75	1652030.75	2130066.5	2060560.125	2421033.25	2585858.25	1896137.0	2045116.125	2432094.75	2576680.25	2679818.75	2460581.5	2529478.5	2681450.5	2729356.25	2957701.25	3124754.5	2862177.0	3699300.0	3699836.5	3411149.5	1496304.375	3212000.5	3881657.5	2996413.75	3175460.0	3073383.0	2178750.5	3295010.75	2788608.5	3112652.25	3342944.75	1947981.125	3113156.5	3397593.75	2849401.0	3472252.5	1257276.125	1588427.875	2437754.25	3456712.25
P00450	7359839.0	7697677.0	6659363.5	7111382.0	7605036.5	6537432.5	6022046.0	5944988.0	7166800.0	7274883.5	7834029.0	7586541.0	6600184.0	6741573.0	7660699.0	8163863.5	7892167.5	6881506.0	6777033.0	7371153.5	7443498.5	7136507.0	7770494.5	7248002.0	7331287.5	7314330.0	6842607.0	6875295.5	7104290.5	7656804.5	7220258.0	7410732.0	6390791.0	7119614.0	6327671.0	7267675.5	6840731.0	6822476.0	7793130.0	6300277.0	6852584.5	7737916.5	7235337.0	6624052.5	7399635.5	7063775.0	6635575.5
P00451																							80064.21875																								
P00488	194271.4375	233562.0	214416.5938	283609.5312	238667.8906	232655.5156	192076.75	191875.4844	157446.2969	145073.8906	193030.7344	130621.5234	220203.5469	206693.3125	120212.8906	160398.8594	164295.9375	240473.9375		114244.3594	178210.0469	171584.0625	152384.5312	10361.26367	180650.9688	185278.2656	198516.5	191072.2969	187186.0312	181824.8438	186113.0156	166173.625	4668040.5	232854.6094	163161.4375	176377.9844	209513.3906	215785.7344	186077.5312	237177.9062	205514.9219	219691.5625	254493.6719	233878.5	233967.8281	229568.4531	204195.2812
P00491	6009033.0	6373540.5	5945935.0	6242067.5	6858687.5	6259858.5	5907800.5	5987695.5	6955292.5	6455064.0	6503094.0	6561134.5	6197189.0	6147104.0	7165390.0	6833137.0	6472236.5	6498039.0	6597540.5	6958855.5	6803109.0	6746543.0	6715747.5	6597024.5	6848141.5	6823327.5	6396377.5	6323331.5	6725337.0	6630741.5	7008761.0	6157180.5	6588191.0	6807978.0	6686407.5	6714517.0	5926878.5	6214874.5	5793102.5	5565718.5	5850371.5	5914852.0	6427730.0	5924425.5	5541591.5	6039802.0	5900356.5
P00492	2137066.25	2117546.5	2096603.625	1976261.5	2103414.0	2050609.375	2151865.5	2223608.25	2321365.25	2036877.0	2000228.25	2053620.875	2158838.25	2028869.75	2175965.0	2106427.5	2130747.25	2062384.75	1984972.125	1986053.0	1949158.25	1832643.375	1851030.875	1901377.0	1562237.75	1516371.25	1475150.0	1547690.5	1569253.0	1533302.875	1681210.0	1489431.5	1662498.125	1883639.25	1496738.75	1763078.625	1562351.125	1599176.25	1840851.0	1547336.5	1546270.375	1830080.375	1496137.625	1511261.5	1830533.375	1674376.75	1552595.375
P00558	2783851.0	2860981.75	2954476.0	2921252.5	2945059.25	2954620.5	3179937.0	3040700.75	3165325.5	3186768.5	2921446.0	3169950.5	3085222.75	2947074.75	3186402.75	3022752.75	3008196.25	3095495.0	2944981.25	2975612.0	3100078.25	3013665.75	3063868.5	2942433.75	2779097.5	2917904.75	2814280.25	3260523.0	2785256.25	2871887.5	2989992.0	2737978.75	2900954.5	2990331.75	2968912.0	2837621.5	2906124.25	2768206.25	2779351.25	2739874.5	2817532.0	2536687.5	2805461.5	2644680.0	2437289.75	2881171.75	2704145.75
P00558;P07205	2783851.0	2860981.75	2954476.0	2921252.5	2945059.25	2954620.5	3179937.0	3040700.75	3165325.5	3186768.5	2921446.0	3169950.5	3085222.75	2947074.75	3186402.75	3022752.75	3008196.25	3095495.0	2944981.25	2975612.0	3100078.25	3013665.75	3063868.5	2942433.75	2779097.5	2917904.75	2814280.25	3260523.0	2785256.25	2871887.5	2989992.0	2737978.75	2900954.5	2990331.75	2968912.0	2837621.5	2906124.25	2768206.25	2779351.25	2739874.5	2817532.0	2536687.5	2805461.5	2644680.0	2437289.75	2881171.75	2704145.75
P00568	7174535.5	7368621.0	5359360.5	2908114.25	6639585.0	7133687.0	5333631.0	5719134.5	9039813.0	7448829.0	8666591.0	9317029.0	2938723.75	2962494.75	7629131.5	3056554.25	8431454.0	3051817.0	2808010.0	8709169.0	8490728.0	2933500.0	3000129.5	2882660.25	7505393.5	7355363.0	7275273.0	7944033.5	7554298.5	8045808.5	6419211.5	7288482.5	6615011.5	7687448.0	5885050.5	8712841.0	6275994.0	5443677.0	6762831.0	5404511.5	6862022.5	7048098.5	5816975.5	6310524.0	6539073.0	6347278.0	6345814.0
P00568;Q9Y6K8	7174535.5	7368621.0	5359360.5	2908114.25	6639585.0	7133687.0	5333631.0	5719134.5	9039813.0	7448829.0	8666591.0	9317029.0	2938723.75	2962494.75	7629131.5	3056554.25	8431454.0	3051817.0	2808010.0	8709169.0	8490728.0	2933500.0	3000129.5	2882660.25	7505393.5	7355363.0	7275273.0	7944033.5	7554298.5	8045808.5	6419211.5	7288482.5	6615011.5	7687448.0	5885050.5	8712841.0	6275994.0	5443677.0	6762831.0	5404511.5	6862022.5	7048098.5	5816975.5	6310524.0	6539073.0	6347278.0	6345814.0
P00734	3210068.25	2922927.25	2885538.0	2666927.5	2667867.0	2743421.5	3170989.5	2886857.5	2759813.0	2614871.25	2530938.25	2827281.75	2987348.25	2841379.5	2607491.75	2565683.75	2533075.75	2514697.75	2947655.75	2550752.75	2460475.25	2457231.5	2640651.5	2929395.75	2489025.5	2394573.5	2606035.0	2213146.5	2241158.0	2394717.0	2685403.0	2476933.5	2341744.0	2417014.5	2347351.5	2559049.5	2312715.0	2284881.25	2363510.5	2173304.0	2318147.25	2554645.0	2332484.5	2244705.75	2311285.0	2218336.5	2347407.5
P00736	862199.1875	825149.0625	814594.75	777365.875	587133.75	818983.5625	1020054.188	1062563.125	894467.625	905853.125	791101.25	658180.625	1059105.0	947070.625	913769.0	803633.875	786431.9375	870554.9375	996878.1875	835489.125	782348.1875	734451.25	744828.4375	976232.75	640132.875	680218.1875	651372.125	623148.0	639096.0	676040.125	630260.5625	674985.4375	577235.375	585449.0	861313.4375	708606.125	649441.25	646129.4375	647170.0625	665283.6875	604975.3125	638898.1875	685276.125	597953.75	617183.4375	706678.375	677639.9375
P00736;Q9NZP8													174015.4375	246976.6562	271865.4375	386378.5	379094.625	223443.1406													300985.125	408475.1562	329578.375	443103.5	323643.3125	417840.7812											
P00738	8014905.0	8865801.0	7901748.5	9043393.0	9654166.0	7873997.5	11064245.0	9544626.0	9844498.0	9448593.0	11097614.0	10756010.0	11359091.0	10387254.0	10383624.0	10910308.0	10238882.0	10508425.0	12863569.0	11606388.0	11668648.0	11280252.0	11188839.0	12666470.0	12033656.0	10280883.0	10065233.0	9562377.0	10065011.0	11978211.0	13840522.0	12730612.0	11129047.0	10965672.0	11100520.0	12748533.0	10453271.0	9820736.0	10194569.0	10362902.0	10533271.0	12576536.0	11819961.0	11111098.0	12583550.0	12873029.0	12738252.0
P00738;P00739	6795086.5	7393418.5	6521648.5	8041586.0	7219274.5	6859070.5	6036520.5	6175762.5	7180621.5	6627270.0	7842748.5	7924653.5	7114940.5	7153702.5	7705998.5	7650412.5	7042673.0	6641788.0	8436164.0	8126927.5	7689008.0	8635083.0	8725260.0	9139362.0	8708008.0	7894798.0	7558447.5	7236250.5	7828035.5	8059162.0	8431338.0	7418956.0	5992258.0	6880468.5	7018326.5	7229779.0	7931581.5	7553006.5	7184386.5	7614105.0	7755527.5	7047095.5	7707885.0	6634511.0	6087944.0	7252450.5	7596398.5
P00739	1991297.875	1769529.5	1953296.0	1692207.875	1781450.0	2035793.5	2387985.75	2051769.875	1863498.75	1904193.5	1746434.875	1855984.375	2362185.25	1779338.625	1762970.625	1847428.0	1761459.875	1729246.625	2326998.75	1688209.25	1624143.5	1819223.75	1776250.125	1878352.25	2102003.0	2215847.25	2461518.0	2669637.25	2626206.25	2114600.0	1902786.75	1895878.125	2063099.125	2087971.375	1828524.5	1901107.625	1951537.75	1898252.625	1863999.625	2153075.0	1792271.875	1982187.375	1973253.125	2181627.25	2000838.25	2198049.5	1965489.125
P00740	182260.0	165591.2188	197101.7656	142535.1875	198522.9531	157465.9375			175980.1719	150961.3906	160909.5781	171568.3281		18529.82031			25313.7832							28352.929689999997	42839.0625	44780.92969	45987.57031		13167.8291	30794.628910000003	20867.92773	154135.5625	51874.25781		47327.28125		45601.28906	43889.95703	19466.23633	48988.8125	49370.05859	25381.90234	54032.078120000006	35168.63672	45666.39844	50368.66016	32158.12305
P00742	365835.4375	343449.5312	347412.625	189859.5	271093.875	295587.4062	151402.5938	177433.0156	193820.0	195903.0938	152743.0312	206529.1719	170173.75	189026.8438	182489.8125	162090.3906	223950.5156	195875.0312	189778.0938	208933.4219	605723.3125	185656.8125	175965.875	166187.6719	291598.125	222938.2812	235347.5156	204378.7031	192645.6094	240857.2812	186131.5469	239318.9062	230391.5938	109638.2656	206638.0156	211502.6562	211985.9062	217852.6562	202087.4219	256890.7969	163653.0781	181416.9062	250980.3594	213312.8125	191921.7656	252567.7812	267442.875
P00746					50023.34375					36157.21094																											58656.80469										
P00747	3580854.75	3117405.5	2978634.25	3415563.5	3241014.75	2997812.5	2698026.25	2604453.5	2933898.5	3091637.75	3483461.5	3545412.0	2959345.75	2975084.25	3257640.5	3276629.75	2928571.25	2914377.0	3336943.0	3346812.5	3197957.75	3906445.0	3509718.5	3706565.0	3116437.75	2881395.75	2932557.5	2718534.5	2551476.5	2783630.25	3488953.25	3156196.25	3160342.25	3089890.25	3119988.0	3143892.25	3513919.5	3449349.0	3388034.0	3041239.25	3509038.25	3300827.5	3347912.0	2669589.5	2496894.75	3521870.25	3149490.75
P00747;Q02325	3580854.75	3117405.5	2978634.25	3415563.5	3241014.75	2997812.5	2698026.25	2604453.5	2933898.5	3091637.75	3483461.5	3545412.0	2959345.75	2975084.25	3257640.5	3276629.75	2928571.25	2914377.0	3336943.0	3346812.5	3197957.75	3906445.0	3509718.5	3706565.0	3116437.75	2881395.75	2932557.5	2718534.5	2551476.5	2783630.25	3488953.25	3156196.25	3160342.25	3089890.25	3119988.0	3143892.25	3513919.5	3449349.0	3388034.0	3041239.25	3509038.25	3300827.5	3347912.0	2669589.5	2496894.75	3521870.25	3149490.75
